Title	Original Search term	Link	Author	Work_type	Character	Target_region	Lang	Metalang	Source	Year	Transcribed	TEI	Amount of Text	Added to corpus?	ACTE	SCENE	Comments
Le Testament du Gentil Cossois	"moy donne"	https://www.jstor.org/stable/pdf/25519232.pdf?refreqid=fastly-default%3Ace3343ffd00160281d9c43f2b76c17d5&ab_segments=&origin=&initiator=&acceptTC=1	anonymous		n/a	Scotland	fra-ang	met-fr	Google Books	1499	yes		several pages				
Le Noel des Reitres	moi sti	https://www.delpher.nl/nl/boeken1/gview?query=moi+sti&coll=boeken1&identifier=OR5bAAAAQAAJ&rowid=2	traditional		n/a	Switzerland	fra-deu	met-fr	Delpher	1580-1600	yes		one song				
Testament d'vn escossois	moy ly	https://books.google.fr/books?id=ksvql72IXpAC&pg=PA651&dq=moy+ly&hl=en&newbks=1&newbks_redir=0&sa=X&ved=2ahUKEwjqyf2j6_aFAxXYUaQEHcy6CYQQ6AF6BAgEEAI#v=onepage&q=moy%20ly&f=false	Sieur de Sygognes.		n/a	Scotland	fra-ang	met-fr	Google Books	1620	yes		several pages				
histoire de francion	"ly va"	https://google.fr/books/edition/L_histoire_comique_de_Francion_ou_les_tr/2avypkWifOsC?hl=en&gbpv=1&dq=%22ly+va%22&pg=PA533&printsec=frontcover	Charles Sorel		Le Suisse	Switzerland	fra-deu	met-fr	Google Books	1630	yes		paragraph				
 Le Facecieux Reveille-matin Des Esprits Melancholiques	n/a	https://www.google.fr/books/edition/Le_facetieux_resueil_matin_des_esprits_m/-ho6AAAAcAAJ?hl=en&gbpv=0	Clément Malassis		Suisse	Switzerland	fra-deu	met-fr	Google Books	1643	yes		paragraph				
 Qvestion cardinale plaisamment agitée ov dasthicotée entre vn Holandois et vn Svisse, et décidée par vn François	moy ly	https://books.google.fr/books?id=f236EfgvJRYC&pg=PP7&dq=moy+ly&hl=en&newbks=1&newbks_redir=0&sa=X&ved=2ahUKEwjdjK2a9PaFAxX2VKQEHZFxC8M4KBDoAXoECAoQAg#v=onepage&q=moy%20ly&f=false			Suisse, Holandois	Suisse, Pays Bas	fra-deu, fra-deu	met-fr	Google Books	1649	yes		several pages				
Les divertissements curieux: D'un Suisse et d'un singe	ly moy toy	https://books.google.fr/books?id=doYca2pWzVAC&pg=PA110&dq=ly+moy+toy&hl=en&newbks=1&newbks_redir=0&sa=X&ved=2ahUKEwi77faOo_eFAxXzUKQEHb2DA-4QuwV6BAgLEAg#v=onepage&q=ly%20moy%20toy&f=false	Iean Huguetan		Suisse	Switzerland	fra-deu	met-fr	Google Books	1650	yes		one page				
DON JUAN ou LE FESTIN DE PIERRE	n/a	https://www.theatre-classique.fr/pages/documents/MOLIERE_DOMJUAN.xml	Molière		Pierrot, Charlotte	French Peasant	fra-dia, fra-dia	met-fr	theatre-classique	1665	yes	yes	a lot	yes			
Monsieur de Pourceaugnac 	n/a	https://www.theatre-classique.fr/pages/documents/MOLIERE_MONSIEURPOURCEAUGNAC.xml	Molière		Premier Suisse, Second Suisse	Switzerland	fra-deu, fra-deu	met-fr	theatre-classique	1670	yes	yes	Full scene	yes			
Le Bourgeois Gentilhomme	n/a	https://www.theatre-classique.fr/pages/documents/MOLIERE_BOURGEOISGENTILHOMME.xml	Molière		Le Suisse	Switzerland	fra-deu	met-fr	theatre-classique	1670	yes	yes	several lines	yes			
ELOMIRE HYPOCONDRE	n/a	https://www.theatre-classique.fr/pages/documents/LEBOULANGERCHALUSSAY_ELOMIREHYPOCONDRE.xml	LE BOULANGER DE CHALUSSAY		Le Suisse	Switzerland	fra-deu	met-fr	theatre-classique	1670	yes	yes	Some	yes			
 La Hollande Malade 	n/a	https://www.theatre-classique.fr/pages/documents/POISSON_HOLANDEMALADE.xml	Poisson, Raymond		La Flamande	Flanders	fra-deu	met-fr	theatre-classique	1672	yes	yes	A lot	yes			
Le Deuil	li	https://www.theatre-classique.fr/pages/documents/HAUTEROCHE_DEUIL.xml	Hauteroche		NICODÈME	French Peasant	fra-dia	met-fr	theatre-classique	1672	yes	yes		yes			
LES FÊTES DE L'AMOUR ET DE BACCHUS	n/a	https://www.theatre-classique.fr/pages/documents/QUINAULT_FETESAMOURBACCHUS.xml	Quinault, Philippe 		Le Suisse	Switzerland	fra-deu	met-fr	theatre-classique	1672	yes	yes	several lines	yes			
Les fragments de Molière	"ly"	https://www.theatre-classique.fr/pages/documents/CHAMPMESLE_FRAGMENTSDEMOLIERE.xml	Champmeslé		Pierrot	Sailor	fra-dia	met-fr	theatre-classique	1682	yes	yes	A lot	yes			mariner "patois"
Les Filles Errantes	n/a	https://www.theatre-classique.fr/pages/documents/REGNARD_FILLESERRANTES.xml	Regnard, Jean-François 		LE-HOLLANDAIS	Holland	fra-deu	met-fr	theatre-classique	1690	yes	yes	Good amount	yes			
Le Moulin de Javelle	disont	https://www.theatre-classique.fr/pages/documents/DANCOURT_MOULINDEJAVELLE.xml	Dancourt		Nicolas	French Peasant	fra-dia	met-fr	theatre-classique	1692	yes	yes		yes			
Les Vendanges	fons	https://theatre-classique.fr/pages/documents/DANCOURT_VENDANGES.xml	Dancourt		Lucas	bourgeois	fra-dia	met-fr	theatre-classique	1694	yes	yes		yes			
Le Tuteur	Dancourt ly, li parliont	https://www.theatre-classique.fr/pages/documents/DANCOURT_TUTEUR.xml	Dancourt		Lucas	French Peasant	fra-dia	met-fr	theatre-classique	1694	yes	yes		yes			
La loterie	n/a	https://www.theatre-classique.fr/pages/documents/DANCOURT_LOTERIE.xml	Dancourt		Le Flamand	Flanders	fra-deu	met-fr	theatre-classique	1697	yes	yes	Good amount	yes			
Le charivari	alle	https://www.theatre-classique.fr/pages/documents/DANCOURT_CHARIVARI.xml	Dancourt		Thibaut, Mathurine	Jardinier, Servante	fra-dia, fra-dia	met-fr	theatre-classique	1697	yes	yes		yes			
 Les empiriques , comédie en trois actes	"moi point"	https://www.theatre-classique.fr/pages/documents/BRUEYS_EMPIRIQUES.xml	Brueys, David-Augustin de		Fribourg	Switzerland	fra-deu	met-fr	theatre-classique	1697/1735	yes	yes	Good amount	yes			
La Maison de campagne	Dancourt li	https://www.theatre-classique.fr/pages/documents/DANCOURT_MAISONDECAMPAGNE.xml	Dancourt		Thibaut	French Peasant	fra-dia	met-fr	theatre-classique	1697	yes	yes		yes			
Le Double Veuvage	n/a	https://www.theatre-classique.fr/pages/documents/DUFRESNY_DOUBLEVEUVAGE.xml	Dufresny, Charles		Le Suisse	Switzerland	fra-deu	met-fr	theatre-classique	1699	yes	yes	Dozens of lines	yes			
L'Esprit de contradiction	ous	https://www.theatre-classique.fr/pages/documents/DUFRESNY_ESPRITDECONTRADICTION.xml	Dufresny, Charles		Lucas	French Peasant	fra-dia	met-fr	theatre-classique	1700	yes	yes	A lot	yes			
Colin-Maillard	alle	https://www.theatre-classique.fr/pages/documents/DANCOURT_COLIN-MAILLARD.xml	Dancourt		Mathurin, Claudine	Jardinier, fiancée	fra-dia, fra-dia	met-fr	theatre-classique	1701	yes	yes		yes			
Le Galant Jardinier	Dancourt li	https://www.theatre-classique.fr/pages/documents/DANCOURT_GALANTJARDINIER.xml	Dancourt		Lucas	French Peasant	fra-dia	met-fr	theatre-classique	1704	yes	yes		yes			
La Comédie des comédiens	n/a	https://www.theatre-classique.fr/pages/documents/DANCOURT_COMEDIECOMEDIENS.xml	Dancourt		Thibaut	French Peasant	fra-dia	met-fr	theatre-classique	1710	yes	yes		yes			
Première Parade	n/a	https://www.theatre-classique.fr/pages/documents/GUEULLETTE_PARADE1.xml	Thomas-Simon GUEULLETTE		Le Suisse	Switzerland	fra-deu	met-fr	theatre-classique	1714/1740	yes	yes	one line	yes			
Arelequin-Pluton	n/a	https://www.theatre-classique.fr/pages/documents/GUEULLETTE_ARLEQUINPLUTON.xml	Thomas-Simon GUEULLETTE		Le Suisse	Switzerland	fra-deu	met-fr	theatre-classique	1719	yes	yes	several lines	yes			
Rime anglaise contre les officiers généraux de la Martinique	n/a	https://satires18.univ-st-etienne.fr/texte/martinique-anglais-parodie/rime-anglaise-contre-les-officiers-g%C3%A9n%C3%A9raux-de-la-martinique				England	fra-ang	met-fr	univ st etienne	1721	yes	yes	A lot	yes			
LE JE NE SAIS QUOI	n/a	https://www.theatre-classique.fr/pages/documents/BOISSY_JENESAISQUOI.xml	Monsieur DE BOISSY		Le Suisse	Switzerland	fra-deu	met-fr	theatre-classique	1731	yes	yes	A lot	yes			
La Mère confidente	n/a	https://www.theatre-classique.fr/pages/documents/MARIVAUX_MERECONFIDENTE.xml	Marivaux		Lubin	French Peasant	fra-dia	met-fr	theatre-classique	1735	yes	yes		yes			
Lettre de la Comtesse	n/a	https://www.delpher.nl/nl/boeken1/gview?query=%22ly+dire%22&coll=boeken1&maxperpage=40&identifier=jSROtXbhTfsC&rowid=6			La Comtesse	Switzerland	fra-deu	met-fr	Gallica	1738	yes	yes	A lot	yes			
L'école de la raison	n/a	https://www.theatre-classique.fr/pages/documents/LAFOSSEM_ECOLEDELARAISON.xml	M. LA FOSSE D'AUBIGNY		Le Suisse	Switzerland	fra-deu	met-fr	theatre-classique	1739	yes	yes	A lot	yes			
L’Épreuve	li-meme	https://www.theatre-classique.fr/pages/documents/MARIVAUX_EPREUVE.xml	Marivaux		MAÎTRE BLAISE	French Peasant	fra-dia	met-fr	theatre-classique	1740	yes	yes		yes			
LES PRISONNIERS DE GUERRES	avre été	https://www.theatre-classique.fr/pages/documents/ROUSSEAU_PRISONNIERSDEGUERRE.xml	Jean-Jacques Rousseau		Jacquard	Suisse	fra-deu	met-fr	theatre-classique	1752	yes	yes		yes			
Cendrillon	n/a	https://www.theatre-classique.fr/pages/documents/ANSEAUME_CENDRILLON.xml	ANSEAUME, Louis		Le Suisse	Suisse	fra-deu	met-fr	theatre-classique	1759	yes	yes	some	yes			
Deux textes religieux	n/a	http://www.creolica.net/caulier.pdf	Caulier		n/a	Reunion	rcf	met-fr	Creolica	1770s	yes	yes		yes			
Le Suisse de Porte 	n/a	https://www.theatre-classique.fr/pages/documents/CARMONTELLE_SUISSEDEPORTE.xml	Carmontelle		Le-Suisse	Switzerland	fra-deu	met-fr	theatre-classique	1771	yes	yes	some	yes			
LE SUISSE MALADE		https://www.theatre-classique.fr/pages/documents/CARMONTELLE_SUISSEMALADE.xml	Carmontelle		Le Major, Le Caporal	Switzerland	fra-deu	met-fr	theatre-classique	1776	yes	yes	a lot	yes			
 L'opéra de Province		https://www.theatre-classique.fr/pages/documents/BARRE-DESPRES-PIIS-RESNIER_OPERADEPROVINCE.xml			Le Suisse	Switzerland	fra-deu	met-fr	theatre-classique	1777	yes	yes	some	yes			
La méprise		https://www.theatre-classique.fr/pages/documents/SACY_MEPRISE.xml	Sacy		Le Suisse	Switzerland	fra-deu	met-fr	theatre-classique	1778	yes	yes	two lines	yes			
Janot Chez Le Dégraisseur		https://www.theatre-classique.fr/pages/documents/ARCHAMBAULT_JANOTDEGRAISSEUR.xml			Le Suisse	Switzerland	fra-deu	met-fr	theatre-classique	1779	yes	yes	A lot	yes			
Fables créoles		https://fr.wikisource.org/wiki/Fables_cr%C3%A9oles	Anonymous			Réunion	rcf	met-fr	Wikisource	1828	yes	yes		yes			
Revue Louisianaise	"layé" moi li	https://www.google.fr/books/edition/Revue_Louisianaise/KdAqRw20ZzcC?hl=en&gbpv=1&dq=%22lay%C3%A9%22+moi+li&pg=PA538&printsec=frontcover				Louisiana	lou	met-fr	Google Books	1846	yes						
L'autre monde	"conné" li	https://www.google.fr/books/edition/L_autre_monde/qZfECMqlKE0C?hl=en&gbpv=1&dq=%22conn%C3%A9%22+li&pg=PA68&printsec=frontcover				Louisiana	lou	met-fr	Google Books	1855	yes						
Le Journal de Marguerite		https://www.google.fr/books/edition/Le_Journal_de_Marguerite_ou_les_deux_ann/mPVFAAAAcAAJ?hl=en&gbpv=1&dq=moi+%22l%27en+a%22&pg=PA112&printsec=frontcover				Reunion	rcf	met-fr	Google Books	1858	yes						
L'amour d'un nègre	"li" "té" "yé" vous	https://www.google.fr/books/edition/L_amour_d_un_N%C3%A8gre/CKSWUG4ujhoC?hl=en&gbpv=1&dq=%22li%22+%22t%C3%A9%22+%22y%C3%A9%22+vous&pg=PA227&printsec=frontcover				Louisiana	lou	met-fr	Google Books	1860 (1830s)	yes						
L'amour d'une blanche	"li" "té" "yé" vous	https://www.google.fr/books/edition/L_amour_d_une_blanche/7-s5AAAAcAAJ?hl=en&gbpv=1&dq=%22li%22+%22t%C3%A9%22+%22y%C3%A9%22+vous&pg=PA261&printsec=frontcover				Louisiana	lou	met-fr	Google Books	1861 (1830s)	yes						
Une de perdue, deux de trouvées, TOME I	"conné" li	https://fr.wikisource.org/wiki/Une_de_perdue%2C_deux_de_trouv%C3%A9es/Tome_I	George Boucher de Boucherville			Louisiana	lou	met-fr	Wikisource	1874 (1849-51)	yes	yes		yes	https://fr.wikisource.org/wiki/Une_de_perdue%2C_deux_de_trouv%C3%A9es/Tome_I/Texte_entier		
Une de perdue, deux de trouvées, TOME II		https://fr.wikisource.org/wiki/Une_de_perdue,_deux_de_trouv%C3%A9es/Tome_II	George Boucher de Boucherville			Louisiana	lou	met-fr	Wikisource	1874 (1849-51)	yes	yes		yes			
LES MISSIONS DE LA SOCIÉTÉ DE MARIE-RÉPARATRICE		https://www.google.fr/books/edition/Missions_de_la_Soci%C3%A9t%C3%A9_de_Marie_r%C3%A9par/U_qYlm_ItVMC?hl=en&gbpv=1&dq=moin+%22li%22+%22l%27%C3%A9%22+%22l%C3%A0%22&pg=PA127&printsec=frontcover				Reunion	rcf	met-fr	Google Books	1878	yes						
L'Habitation Saint-Ybars		https://fr.wikisource.org/wiki/L%E2%80%99Habitation_Saint-Ybars	Alfred Mercier		n/a	Louisiana	lou	met-fr	Wikisource	1881	yes	yes		yes			
Atipa		https://fr.wikisource.org/wiki/Atipa	Alfred Parépou		n/a	French Guiana	gcr	gcr	Wikisource	1885	yes	yes					
Poutche		https://gallica.bnf.fr/ark:/12148/bpt6k2392049f/f3.item.r=mo.zoom#	Jules Watteuw		n/a	Tourcoing	fra-fla	met-fr	Gallica	1924	yes	yes					
Min petite Sisca		https://gallica.bnf.fr/ark:/12148/bpt6k2392074h/f7.image.r=sisca%20pasquilles?rk=21459;2	Jules Watteuw		n/a	Tourcoing	fra-fla	met-fr	Gallica	1924	yes	yes					
Zonasse	mo + Watteuw	https://gallica.bnf.fr/ark:/12148/bpt6k23921046/f3.item.r=mowatteuw%20watteuw.zoom#	Jules Watteuw		n/a	Tourcoing	fra-fla	met-fr	Gallica	1925	yes						
Sisca à de Cinéma		https://gallica.bnf.fr/ark:/12148/bpt6k2392126s/f3.image.r=Ze%20l'attender%20toujours%20y%20parler%20de%20chine%CC%81ma?rk=21459;2			n/a	Tourcoing	fra-fla	met-fr	Gallica	1925	yes	yes					
De Roi Dagobert		https://gallica.bnf.fr/ark:/12148/bpt6k2392098x/f3.item.r=%22ze%20l'a%22mo.zoom	Jules Watteuw		n/a	Tourcoing	fra-fla	met-fr	Gallica	1925	yes						
Le Piote et Le Roi		https://gallica.bnf.fr/ark:/12148/bd6t53438933/f63.item.r=mo%20li%20watteuw	Amis de Tourcoing		n/a	Tourcoing	fra-fla	met-fr	Gallica	1926	yes						
Pitche		https://gallica.bnf.fr/ark:/12148/bpt6k2392207s/f4.item.r=%22mais%20mo%20pas%22.zoom	Jules Watteuw		n/a	Tourcoing	fra-fla	met-fr	Gallica	1927	yes	yes	a lot				
Belle Réponse	camerate alimand	https://gallica.bnf.fr/ark:/12148/bpt6k2392471n/f4.item.r=camerate%20alimand.zoom	Jules Watteuw		n/a	Tourcoing	fra-fla	met-fr	Gallica	1932	yes	yes					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
														                        <date>1874</date>			